;id;day;airline;destination;dest_region;dest_size;boarding_area;dept_time;wait_min;no_pass;cleanliness;safety;satisfaction
536;102;Tuesday;UNITED;WASHINGTON DC-DULLES;EAST US;Medium     ;Gates 70-90;31.12.2018;200.0;271;Somewhat clean;Somewhat safe;1
537;2491;Friday;ALASKA;SALT LAKE CITY;West US;    Medium;Gates 1-12;31.12.2018;150.0;226;Average;Very safe;0
538;1167;Thursday;DELTA;NEW YORK-JFK;EAST US;    Hub;Gates 40-48;31.12.2018;100.0;276;Clean;Neutral;0
539;1660;Saturday;EMIRATES;DUBAI;Middle East;Hub;Gates 1-12;31.12.2018;165.0;247;Average;Neutral;0
540;3125;Sunday;ALASKA;NEWARK;East US;Hub;Gates 50-59;31.12.2018;110.0;224;Somewhat clean;Somewhat safe;0
541;2906;Friday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;31.12.2018;315.0;186;Clean;Very safe;1
542;1227;Tuesday;SOUTHWEST;LAS VEGAS;West US;Hub;Gates 20-39;31.12.2018;105.0;136;Clean;Very safe;1
543;641;Tuesday;ALASKA;WASHINGTON DC-DULLES;East US;Medium;Gates 50-59;31.12.2018;115.0;258;Clean;Very safe;1
544;1478;Tuesday;ALASKA;NEW YORK-JFK;EAST US;    Hub;Gates 50-59;31.12.2018;230.0;180;Average;Neutral;0
546;1797;Sunday;ALASKA;RALEIGH-DURHAM;East US;Medium;Gates 50-59;31.12.2018;95.0000000000001;136;Clean;Very safe;1
547;381;Friday;ALASKA;SAN JOSE DEL CABO;Canada/Mexico;Small;Gates 50-59;31.12.2018;165.0;214;Clean;Neutral;1
549;2180;Wednesday;QANTAS;SYDNEY;Australia/New Zealand;Hub     ;Gates 1-12;31.12.2018;195.0;272;Average;Neutral;1
550;2901;Thursday;DELTA;SALT LAKE CITY;West US;Medium;Gates 40-48;31.12.2018;185.0;178;Somewhat clean;Neutral;1
552;2965;Wednesday;AMERICAN;CHARLOTTE;East US;Hub;Gates 50-59;31.12.2018;135.0;214;Somewhat clean;Very safe;1
553;1654;Saturday;EMIRATES;DUBAI;Middle East;Hub;Gates 1-12;31.12.2018;225.0;276;Clean;Very safe;1
555;1513;Wednesday;DELTA;LOS ANGELES;West US;Hub;Gates 40-48;31.12.2018;120.0;243;Somewhat clean;Somewhat safe;1
556;1628;Thursday;KOREAN AIR;SEOUL;Asia;Hub;Gates 1-12;31.12.2018;180.0;150;Average;Very safe;1
557;274;Thursday;UNITED;LOS ANGELES;West US;Hub;Gates 70-90;31.12.2018;70.0000000000001;193;Somewhat clean;Somewhat safe;1
558;1745;Monday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;31.12.2018;90.0;118;Average;Somewhat safe;1
559;1469;Tuesday;ALASKA;NEW YORK-JFK;East US;Hub;Gates 50-59;31.12.2018;160.0;243;Somewhat clean;Very safe;1
561;406;Sunday;UNITED;HOUSTON-BUSH;Midwest US;Hub;Gates 70-90;31.12.2018;117.0;119;Clean;Very safe;0
562;2219;Thursday;SOUTHWEST;PHOENIX;West US;Hub;Gates 20-39;31.12.2018;120.0;200;Somewhat clean;Very safe;1
564;2477;Tuesday;UNITED;HONOLULU;West US;Medium;Gates 70-90;31.12.2018;75.0000000000001;235;Clean;Very safe;1
565;2374;Wednesday;UNITED;AUSTIN;Midwest US;Medium;Gates 70-90;31.12.2018;120.0;278;Average;Neutral;1
566;447;Sunday;UNITED;INDIANAPOLIS;Midwest US;Medium;Gates 60-69;31.12.2018;82.9999999999999;170;Average;Very safe;1
567;1353;Tuesday;UNITED INTL;SHANGHAI;Asia;    Hub;Gates 91-102;31.12.2018;120.0;210;Somewhat dirty;Neutral;0
568;2382;Wednesday;UNITED INTL;BEIJING;Asia;Hub;Gates 91-102;31.12.2018;165.0;142;Somewhat clean;Very safe;1
569;1142;Tuesday;SOUTHWEST;SAN DIEGO;West US;Medium;Gates 20-39;31.12.2018;59.99999999999989;107;Somewhat clean;Somewhat safe;1
570;2317;Wednesday;QANTAS;SYDNEY;Australia/New Zealand;Hub;Gates 1-12;31.12.2018;315.0;178;Average;Very safe;0
571;1249;Thursday;UNITED INTL;TOKYO-NARITA;Asia;Hub;Gates 91-102;31.12.2018;120.0;229;Clean;Very safe;1
572;2655;Saturday;JETBLUE;BOSTON;East US;Large;Gates 1-12;31.12.2018;117.0;298;Average;Somewhat safe;0
573;2604;Saturday;INTERJET;GUADALAJARA;Canada/Mexico;Medium;Gates 1-12;31.12.2018;120.0;143;Clean;Somewhat safe;1
574;1510;Wednesday;HAWAIIAN AIR;HONOLULU;West US;Medium;Gates 1-12;31.12.2018;120.0;211;Somewhat clean;Very safe;0
575;1232;Tuesday;SOUTHWEST;LAS VEGAS;West US;Hub;Gates 20-39;31.12.2018;105.0;101;Clean;Very safe;1
576;2322;Wednesday;QANTAS;SYDNEY;Australia/New Zealand;    Hub;Gates 1-12;31.12.2018;705.0;192;Average;Very safe;0
578;2487;Friday;UNITED;CHICAGO-O'HARE;Midwest US;Hub;Gates 60-69;31.12.2018;159.0;114;Clean;Very safe;1
579;2243;Thursday;SOUTHWEST;PHOENIX;West US;Hub;Gates 20-39;31.12.2018;65.0;202;Average;Neutral;0
581;1449;Wednesday;UNITED;LAS VEGAS;West US;Hub;Gates 60-69;31.12.2018;202.0;130;Clean;Very safe;1
582;2032;Wednesday;UNITED;NEWARK;East US;Hub;Gates 70-90;31.12.2018;105.0;274;Somewhat clean;Somewhat safe;1
583;1588;Wednesday;UNITED INTL;HONG KONG;Asia;Hub     ;Gates 91-102;31.12.2018;120.0;124;Clean;Somewhat safe;1
584;3194;Thursday;DELTA;LOS ANGELES;West US;Hub;Gates 40-48;31.12.2018;464.0;212;Clean;Very safe;1
585;3116;Sunday;ALASKA;NEWARK;East US;Hub;Gates 50-59;31.12.2018;215.0;288;Somewhat clean;Neutral;1
586;2920;Thursday;DELTA;SEATTLE;West US;    Hub;Gates 40-48;31.12.2018;180.0;224;Dirty;Neutral;0
587;1440;Saturday;UNITED;PORTLAND;West US;    Medium;Gates 70-90;31.12.2018;220.0;298;Somewhat clean;Very safe;0
588;1596;Wednesday;SINGAPORE AIRLINES;SINGAPORE;Asia;Hub;Gates 91-102;31.12.2018;210.0;152;Somewhat clean;Somewhat safe;1
589;2207;Wednesday;AER LINGUS;DUBLIN;Europe;Large;Gates 91-102;31.12.2018;180.0;242;Clean;Very safe;1
590;2651;Saturday;JETBLUE;BOSTON;East US;Large;Gates 1-12;31.12.2018;162.0;102;Somewhat clean;Very safe;1
592;2133;Wednesday;AIR CANADA;VANCOUVER;Canada/Mexico;Medium;Gates 91-102;31.12.2018;125.0;217;Somewhat clean;Neutral;1
594;343;Friday;ALASKA;SAN DIEGO;West US;    Medium;Gates 50-59;31.12.2018;156.0;130;Somewhat clean;Neutral;1
595;1455;Saturday;UNITED;PORTLAND;West US;Medium;Gates 70-90;31.12.2018;220.0;101;Average;Very safe;1
596;901;Friday;AIR CANADA;TORONTO;Canada/Mexico;    Hub;Gates 91-102;31.12.2018;140.0;271;Somewhat clean;Very safe;0
597;1186;Tuesday;SOUTHWEST;LAS VEGAS;West US;Hub;Gates 20-39;31.12.2018;75.0000000000001;255;Somewhat clean;Neutral;0
598;554;Thursday;EMIRATES;DUBAI;Middle East;Hub;Gates 1-12;31.12.2018;265.0;211;Average;Very safe;1
599;333;Friday;ALASKA;SAN DIEGO;West US;Medium;Gates 50-59;31.12.2018;66.0;227;Clean;Somewhat safe;1
601;2437;Wednesday;AIR NEW ZEALAND;AUCKLAND;Australia/New Zealand;Medium;Gates 91-102;31.12.2018;220.0;214;Somewhat clean;Somewhat safe;1
602;3012;Tuesday;UNITED;PORTLAND;West US;    Medium;Gates 70-90;31.12.2018;150.0;151;Clean;Very safe;0
603;1666;Saturday;EMIRATES;DUBAI;Middle East;Hub;Gates 1-12;31.12.2018;205.0;223;Somewhat clean;Neutral;1
604;2008;Wednesday;UNITED;NEWARK;East US;Hub;Gates 70-90;31.12.2018;90.0;185;Clean;Very safe;1
606;2998;Tuesday;UNITED;BURBANK;West US;Small;Gates 70-90;31.12.2018;63.0;189;Average;Very safe;1
607;3111;Sunday;COPA;PANAMA CITY;Central/South America;Medium;Gates 1-12;31.12.2018;183.0;212;Clean;Very safe;1
608;577;Thursday;ALASKA;SEATTLE;West US;Hub;Gates 50-59;31.12.2018;103.0;145;Clean;Neutral;1
610;3163;Thursday;AMERICAN;DALLAS-FT. WORTH;Midwest US;    Hub;Gates 50-59;31.12.2018;75.0;234;Clean;Very safe;1
611;2956;Tuesday;AMERICAN;NEW YORK-JFK;EAST US;Hub     ;Gates 50-59;31.12.2018;130.0;143;Somewhat clean;Very safe;1
612;874;Tuesday;AMERICAN;DALLAS-FT. WORTH;Midwest US;    Hub;Gates 50-59;31.12.2018;100.0;154;Clean;Very safe;1
613;3177;Thursday;DELTA;LOS ANGELES;West US;Hub;Gates 40-48;31.12.2018;120.0;259;Average;Somewhat safe;0
614;831;Sunday;ALASKA;NASHVILLE;Midwest US;Medium;Gates 50-59;31.12.2018;96.0;133;Clean;Very safe;1
615;2379;Wednesday;UNITED INTL;BEIJING;Asia;    Hub;Gates 91-102;31.12.2018;250.0;170;Somewhat clean;Somewhat safe;1
616;2006;Friday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;31.12.2018;170.0;212;Somewhat clean;Very safe;1
617;3239;Wednesday;AMERICAN;PHOENIX;West US;Hub;Gates 50-59;31.12.2018;94.99999999999979;264;Clean;Very safe;1
618;2825;Tuesday;UNITED;BURBANK;West US;Small;Gates 70-90;31.12.2018;93.0;212;Clean;Very safe;1
620;2201;Thursday;SOUTHWEST;LAS VEGAS;West US;Hub;Gates 20-39;31.12.2018;165.0;276;Clean;Very safe;1
621;644;Tuesday;ALASKA;WASHINGTON DC-DULLES;East US;Medium;Gates 50-59;31.12.2018;125.0;126;Clean;Very safe;1
622;1286;Tuesday;UNITED INTL;LONDON HEATHROW;Europe;Hub;Gates 91-102;31.12.2018;120.0;136;Clean;Very safe;1
623;3042;Tuesday;UNITED;PORTLAND;West US;Medium;Gates 70-90;31.12.2018;150.0;134;Clean;Very safe;1
625;336;Friday;ALASKA;SAN DIEGO;West US;Medium;Gates 50-59;31.12.2018;96.0;216;Clean;Very safe;1
627;2426;Tuesday;UNITED;HONOLULU;West US;Medium;Gates 70-90;31.12.2018;85.0;288;Somewhat clean;Somewhat safe;1
629;3225;Wednesday;AMERICAN;PHOENIX;West US;Hub;Gates 50-59;31.12.2018;214.0;204;Somewhat clean;Somewhat safe;0
630;1598;Wednesday;SINGAPORE AIRLINES;SINGAPORE;Asia;Hub;Gates 91-102;31.12.2018;150.0;253;Clean;Very safe;1
631;2552;Saturday;JETBLUE;LONG BEACH;West US;Small;Gates 1-12;31.12.2018;62.99999999999989;214;Somewhat clean;Neutral;1
632;2802;Tuesday;SOUTHWEST;PHOENIX;West US;Hub     ;Gates 20-39;31.12.2018;120.0;137;Clean;Very safe;1
633;3128;Tuesday;UNITED;SAN DIEGO;West US;Medium;Gates 60-69;31.12.2018;74.9999999999999;199;Clean;Very safe;1
634;945;Friday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;31.12.2018;90.0;272;Somewhat clean;Somewhat safe;1
635;2564;Saturday;JETBLUE;LONG BEACH;West US;Small;Gates 1-12;31.12.2018;93.0;171;Somewhat clean;Somewhat safe;1
636;1707;Sunday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;31.12.2018;210.0;272;Average;Very safe;1
637;2873;Friday;EVA AIR;TAIPEI;Asia;Hub;Gates 91-102;31.12.2018;180.0;289;Average;Very safe;1
638;2540;Saturday;JETBLUE;LONG BEACH;West US;Small;Gates 1-12;31.12.2018;62.99999999999989;190;Somewhat clean;Very safe;1
639;462;Sunday;ALASKA;LAS VEGAS;West US;Hub;Gates 50-59;31.12.2018;90.0;106;Clean;Very safe;1
640;1873;Tuesday;UNITED;BOSTON;East US;Large;Gates 70-90;31.12.2018;205.0;280;Somewhat clean;Very safe;1
641;1016;Friday;AIR CANADA;VANCOUVER;Canada/Mexico;Medium;Gates 91-102;31.12.2018;155.0;265;Somewhat clean;Somewhat safe;1
642;370;Friday;ALASKA;SAN JOSE DEL CABO;Canada/Mexico;    Small;Gates 50-59;31.12.2018;195.0;198;Somewhat clean;Somewhat safe;1
643;2151;Thursday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;31.12.2018;155.0;202;Clean;Very safe;1
644;1872;Sunday;ALASKA;KAHULUI;West US;Small;Gates 50-59;31.12.2018;295.0;104;Somewhat clean;Very safe;1
645;1576;Wednesday;DELTA;DETROIT;Midwest US;Large;Gates 40-48;31.12.2018;125.0;115;Somewhat clean;Very safe;0
646;2541;Tuesday;JETBLUE;LONG BEACH;West US;Small;Gates 1-12;31.12.2018;120.0;223;Somewhat clean;Very safe;1
647;1301;Thursday;JETBLUE;NEW YORK-JFK;East US;Hub;Gates 1-12;31.12.2018;156.0;170;Somewhat clean;Somewhat safe;1
648;3040;Tuesday;AMERICAN;DALLAS-FT. WORTH;Midwest US;Hub     ;Gates 50-59;31.12.2018;155.0;101;Somewhat clean;Very safe;1
649;1360;Tuesday;UNITED INTL;PARIS-DE GAULLE;eur;Hub     ;Gates 91-102;31.12.2018;225.0;114;Average;Somewhat safe;1
650;2469;Friday;UNITED;DENVER;West US;Hub;Gates 70-90;31.12.2018;121.0;187;Average;Very safe;0
651;543;Thursday;EMIRATES;DUBAI;Middle East;Hub;Gates 1-12;31.12.2018;165.0;232;Somewhat clean;Very safe;1
652;2925;Friday;TURKISH AIRLINES;ISTANBUL;Middle East;Hub;Gates 91-102;31.12.2018;250.0;300;Clean;Very safe;1
653;2685;Friday;UNITED;CHICAGO-O'HARE;Midwest US;Hub;Gates 60-69;31.12.2018;100.0;134;Somewhat clean;Very safe;1
654;2268;Wednesday;UNITED;LOS ANGELES;West US;Hub;Gates 60-69;31.12.2018;155.0;104;Somewhat clean;Somewhat safe;1
656;2041;Friday;BRITISH AIRWAYS;LONDON HEATHROW;eur;    Hub;Gates 1-12;31.12.2018;180.0;277;Average;Somewhat safe;0
657;2167;Wednesday;FRONTIER;DENVER;West US;Hub;Gates 20-39;31.12.2018;333.0;270;Clean;Very safe;1
658;3088;Tuesday;UNITED;SPOKANE;West US;Small;Gates 70-90;31.12.2018;97.0000000000001;236;Clean;Very safe;1
659;2948;Tuesday;SOUTHWEST;SAN DIEGO;West US;Medium;Gates 20-39;31.12.2018;135.0;125;Clean;Very safe;1
660;443;Sunday;UNITED;INDIANAPOLIS;Midwest US;Medium;Gates 60-69;31.12.2018;113.0;211;Clean;Somewhat safe;1
661;278;Thursday;UNITED;BALTIMORE;EAST US;Medium     ;Gates 70-90;31.12.2018;134.0;255;Somewhat clean;Somewhat safe;0
662;2457;Friday;UNITED;CHICAGO-O'HARE;Midwest US;Hub     ;Gates 60-69;31.12.2018;154.0;145;Clean;Very safe;0
663;1526;Wednesday;JETBLUE;NEW YORK-JFK;East US;Hub;Gates 1-12;31.12.2018;101.0;204;Somewhat clean;Somewhat safe;0
664;2689;Wednesday;AIR FRANCE/KLM;PARIS-DE GAULLE;eur;    Hub;Gates 1-12;31.12.2018;150.0;293;Somewhat clean;Very safe;0
665;3055;Sunday;PHILIPPINE AIRLINES;MANILA;Asia;Medium;Gates 1-12;01.01.2018;335.0;228;Average;Somewhat safe;1
666;2136;Thursday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;31.12.2018;380.0;235;Clean;Neutral;0
667;1450;Wednesday;UNITED;LAS VEGAS;West US;Hub;Gates 60-69;31.12.2018;82.0;264;Clean;Very safe;1
668;2415;Wednesday;AIR NEW ZEALAND;AUCKLAND;Australia/New Zealand;Medium;Gates 91-102;31.12.2018;190.0;234;Clean;Somewhat safe;1
669;729;Thursday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;31.12.2018;245.0;114;Somewhat clean;Somewhat safe;0
670;2232;Thursday;SOUTHWEST;SANTA ANA;West US;Medium;Gates 20-39;31.12.2018;60.0;132;Somewhat clean;Very safe;1
671;1452;Wednesday;UNITED;LAS VEGAS;West US;    Hub;Gates 60-69;31.12.2018;82.0;296;Clean;Very safe;1
672;1705;Sunday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;31.12.2018;225.0;198;Somewhat clean;Somewhat safe;1
673;1543;Wednesday;AIR CHINA;BEIJING;Asia;Hub;Gates 91-102;31.12.2018;170.0;237;Average;Very safe;0
674;618;Tuesday;ALASKA;WASHINGTON DC-DULLES;EAST US;    Medium;Gates 50-59;31.12.2018;155.0;288;Clean;Very safe;1
675;1726;Monday;AIR CANADA;TORONTO;Canada/Mexico;Hub;Gates 91-102;31.12.2018;105.0;275;Clean;Very safe;1
676;2209;Thursday;SOUTHWEST;LAS VEGAS;West US;Hub     ;Gates 20-39;31.12.2018;135.0;135;Somewhat clean;Somewhat safe;0
677;1786;Saturday;UNITED;RALEIGH-DURHAM;East US;Medium;Gates 70-90;31.12.2018;135.0;199;Somewhat clean;Very safe;1
678;2625;Tuesday;UNITED;CHICAGO-O'HARE;Midwest US;Hub;Gates 60-69;31.12.2018;120.0;131;Somewhat clean;Very safe;1
679;1760;Monday;LUFTHANSA;MUNICH;Europe;Hub;Gates 91-102;31.12.2018;145.0;182;Average;Somewhat safe;1
680;2732;Wednesday;AIR FRANCE/KLM;PARIS-DE GAULLE;eur;    Hub;Gates 1-12;31.12.2018;270.0;268;Somewhat clean;Somewhat safe;0
681;711;Thursday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;31.12.2018;185.0;136;Somewhat clean;Somewhat safe;0
682;943;Thursday;AIR CANADA;VANCOUVER;Canada/Mexico;Medium;Gates 91-102;31.12.2018;135.0;147;Somewhat clean;Very safe;1
684;1910;Saturday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;31.12.2018;140.0;282;Somewhat clean;Neutral;1
685;2027;Wednesday;UNITED;NEWARK;East US;Hub;Gates 70-90;31.12.2018;150.0;123;Average;Very safe;1
688;365;Friday;ALASKA;SAN JOSE DEL CABO;Canada/Mexico;Small;Gates 50-59;31.12.2018;105.0;257;Somewhat clean;Somewhat safe;1
689;3005;Thursday;UNITED;NASHVILLE;Midwest US;Medium;Gates 70-90;31.12.2018;100.0;209;Average;Somewhat safe;1
690;1502;Wednesday;HAWAIIAN AIR;HONOLULU;West US;Medium;Gates 1-12;31.12.2018;150.0;279;Average;Somewhat safe;1
691;2621;Saturday;AEROMEXICO;MEXICO CITY;Canada/Mexico;    Hub;Gates 1-12;31.12.2018;125.0;270;Clean;Very safe;1
692;1639;Saturday;VIRGIN ATLANTIC;LONDON HEATHROW;Europe;Hub;Gates 1-12;31.12.2018;170.0;288;Clean;Very safe;1
693;2733;Thursday;DELTA;LOS ANGELES;West US;Hub;Gates 40-48;31.12.2018;160.0;234;Clean;Somewhat safe;0
694;2021;Friday;BRITISH AIRWAYS;LONDON HEATHROW;eur;    Hub;Gates 1-12;31.12.2018;160.0;289;Average;Neutral;0
695;629;Tuesday;ALASKA;WASHINGTON DC-DULLES;East US;Medium;Gates 50-59;31.12.2018;140.0;230;Somewhat clean;Very safe;1
696;3026;Tuesday;UNITED;PORTLAND;West US;Medium;Gates 70-90;31.12.2018;120.0;223;Clean;Very safe;1
697;1671;Saturday;EMIRATES;DUBAI;Middle East;Hub;Gates 1-12;31.12.2018;125.0;185;Somewhat clean;Somewhat safe;1
698;3248;Wednesday;AMERICAN;PHOENIX;West US;Hub;Gates 50-59;31.12.2018;74.9999999999999;206;Clean;Very safe;1
699;684;Wednesday;CATHAY PACIFIC;HONG KONG;Asia;Hub     ;Gates 1-12;31.12.2018;230.0;133;Somewhat clean;Very safe;1
701;1905;Monday;LUFTHANSA;MUNICH;Europe;Hub;Gates 91-102;31.12.2018;128.0;168;Somewhat clean;Neutral;1
703;774;Wednesday;AMERICAN;LOS ANGELES;West US;Hub;Gates 50-59;31.12.2018;220.0;227;Somewhat clean;Very safe;0
704;2917;Thursday;DELTA;SEATTLE;West US;Hub;Gates 40-48;31.12.2018;14.9999999999999;265;Clean;Very safe;1
705;1459;Saturday;UNITED;PORTLAND;West US;    Medium;Gates 70-90;31.12.2018;84.9999999999999;137;Clean;Neutral;1
706;1178;Tuesday;SOUTHWEST;LAS VEGAS;West US;    Hub;Gates 20-39;31.12.2018;115.0;268;Somewhat clean;Very safe;1
707;2691;Friday;UNITED;ORLANDO;East US;Hub;Gates 70-90;31.12.2018;367.0;296;Average;Neutral;0
708;857;Tuesday;ALASKA;PORTLAND;West US;Medium;Gates 50-59;31.12.2018;154.0;260;Clean;Somewhat safe;1
709;3148;Tuesday;UNITED;SAN DIEGO;West US;Medium;Gates 60-69;31.12.2018;59.99999999999989;187;Somewhat clean;Somewhat safe;1
710;1519;Wednesday;DELTA;LOS ANGELES;West US;Hub;Gates 40-48;31.12.2018;115.0;104;Somewhat clean;Very safe;1
711;1126;Thursday;DELTA;MINNEAPOLIS-ST. PAUL;Midwest US;Hub;Gates 40-48;31.12.2018;105.0;122;Average;Very safe;1
712;3269;Tuesday;UNITED;LAS VEGAS;West US;    Hub;Gates 70-90;31.12.2018;85.0000000000002;272;Average;Somewhat safe;0
714;1960;Friday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;31.12.2018;165.0;217;Somewhat clean;Neutral;0
715;2545;Saturday;JETBLUE;LONG BEACH;West US;Small;Gates 1-12;31.12.2018;83.0;223;Somewhat clean;Very safe;0
718;2582;Tuesday;UNITED;CHICAGO-O'HARE;Midwest US;Hub;Gates 60-69;31.12.2018;90.0;280;Somewhat clean;Somewhat safe;0
719;358;Friday;ALASKA;NEWARK;East US;Hub;Gates 50-59;31.12.2018;80.0;110;Somewhat clean;Somewhat safe;0
720;2912;Thursday;DELTA;SEATTLE;West US;Hub;Gates 40-48;31.12.2018;59.99999999999989;119;Somewhat clean;Somewhat safe;1
721;2030;Friday;BRITISH AIRWAYS;LONDON HEATHROW;eur;    Hub;Gates 1-12;31.12.2018;150.0;210;Somewhat clean;Somewhat safe;0
722;2242;Wednesday;WOW;REYKJAVIK;eur;Small     ;Gates 91-102;31.12.2018;156.0;143;Somewhat clean;Somewhat safe;0
723;2556;Saturday;JETBLUE;LONG BEACH;West US;Small;Gates 1-12;31.12.2018;108.0;167;Somewhat clean;Somewhat safe;0
724;853;Tuesday;AMERICAN;DALLAS-FT. WORTH;Midwest US;Hub;Gates 50-59;31.12.2018;85.0000000000002;200;Somewhat clean;Somewhat safe;1
725;3168;Thursday;AMERICAN;DALLAS-FT. WORTH;Midwest US;Hub;Gates 50-59;31.12.2018;110.0;192;Clean;Somewhat safe;1
726;2234;Thursday;SOUTHWEST;SANTA ANA;West US;Medium;Gates 20-39;31.12.2018;60.0;270;Clean;Very safe;1
727;2765;Sunday;WOW;REYKJAVIK;eur;Small     ;Gates 1-12;31.12.2018;175.0;252;Somewhat clean;Very safe;1
728;3092;Sunday;COPA;PANAMA CITY;Central/South America;Medium;Gates 1-12;31.12.2018;173.0;200;Average;Somewhat safe;0
729;285;Thursday;UNITED;BALTIMORE;East US;Medium;Gates 70-90;31.12.2018;164.0;225;Average;Somewhat safe;0
730;1480;Tuesday;ALASKA;NEW YORK-JFK;East US;Hub;Gates 50-59;31.12.2018;130.0;180;Somewhat clean;Somewhat safe;1
731;3175;Thursday;AMERICAN;DALLAS-FT. WORTH;Midwest US;Hub;Gates 50-59;31.12.2018;60.0;126;Clean;Very safe;1
732;2770;Wednesday;UNITED;AUSTIN;Midwest US;Medium;Gates 70-90;31.12.2018;90.0;175;Somewhat clean;Very safe;1
733;3033;Tuesday;UNITED;PORTLAND;West US;Medium;Gates 70-90;31.12.2018;150.0;169;Somewhat clean;Somewhat safe;1
734;1661;Saturday;EMIRATES;DUBAI;Middle East;Hub;Gates 1-12;31.12.2018;150.0;242;Average;Neutral;1
735;2634;Tuesday;JETBLUE;NEW YORK-JFK;East US;Hub;Gates 1-12;31.12.2018;60.0;275;Somewhat clean;Somewhat safe;0
736;1987;Friday;AIR FRANCE/KLM;AMSTERDAM;Europe;Hub;Gates 1-12;31.12.2018;145.0;281;Average;Neutral;0
737;1861;Sunday;ALASKA;KAHULUI;West US;Small;Gates 50-59;31.12.2018;145.0;147;Somewhat clean;Very safe;1
738;1278;Tuesday;UNITED INTL;LONDON HEATHROW;Europe;Hub;Gates 91-102;31.12.2018;320.0;297;Average;Somewhat safe;1
739;1841;Monday;TURKISH AIRLINES;ISTANBUL;middle east;Hub     ;Gates 91-102;31.12.2018;300.0;203;Clean;Very safe;1
740;341;Friday;ALASKA;SAN DIEGO;West US;Medium;Gates 50-59;31.12.2018;98.0;213;Clean;Somewhat safe;1
741;1978;Tuesday;UNITED;BALTIMORE;East US;Medium;Gates 60-69;31.12.2018;155.0;262;Clean;Somewhat safe;1
743;319;Wednesday;SOUTHWEST;LOS ANGELES;West US;Hub;Gates 20-39;31.12.2018;59.99999999999989;239;Clean;Neutral;1
744;1636;Thursday;KOREAN AIR;SEOUL;Asia;Hub;Gates 1-12;31.12.2018;195.0;214;Clean;Very safe;1
745;3292;Wednesday;SOUTHWEST;DENVER;West US;Hub;Gates 20-39;31.12.2018;145.0;226;Clean;Very safe;1
746;3203;Tuesday;UNITED;ONTARIO (CALIF);West US;Small;Gates 70-90;31.12.2018;245.0;146;Clean;Very safe;1
747;1898;Monday;LUFTHANSA;MUNICH;eur;    Hub;Gates 91-102;31.12.2018;235.0;180;Somewhat dirty;Neutral;0
748;633;Tuesday;ALASKA;WASHINGTON DC-DULLES;East US;Medium;Gates 50-59;31.12.2018;95.0;173;Somewhat clean;Somewhat safe;0
749;1385;Tuesday;UNITED INTL;SHANGHAI;Asia;Hub;Gates 91-102;31.12.2018;235.0;189;Clean;Very safe;1
751;2069;Thursday;AMERICAN;PHILADELPHIA;East US;Large;Gates 50-59;31.12.2018;177.0;261;Clean;Somewhat safe;1
752;299;Wednesday;SOUTHWEST;LOS ANGELES;West US;Hub;Gates 20-39;31.12.2018;130.0;159;Average;Neutral;0
753;2730;Friday;UNITED;KAHULUI;West US;Small;Gates 60-69;31.12.2018;122.0;276;Somewhat clean;Very safe;1
754;1676;Saturday;AIR FRANCE/KLM;PARIS-DE GAULLE;Europe;Hub;Gates 1-12;31.12.2018;185.0;179;Somewhat clean;Very safe;1
755;3282;Wednesday;SOUTHWEST;DENVER;West US;Hub;Gates 20-39;31.12.2018;80.0;278;Somewhat clean;Very safe;1
756;2112;Tuesday;AMERICAN;PHOENIX;West US;    Hub;Gates 50-59;31.12.2018;121.0;132;Somewhat clean;Very safe;1
757;1986;Friday;AIR FRANCE/KLM;AMSTERDAM;Europe;Hub;Gates 1-12;31.12.2018;145.0;291;Average;Somewhat safe;1
758;2595;Tuesday;JETBLUE;BOSTON;East US;Large;Gates 1-12;31.12.2018;147.0;121;Somewhat clean;Somewhat safe;1
759;814;Sunday;ALASKA;BALTIMORE;East US;Medium;Gates 50-59;31.12.2018;185.0;246;Clean;Very safe;1
760;2551;Saturday;JETBLUE;BOSTON;East US;Large;Gates 1-12;31.12.2018;135.0;190;Average;Very safe;0
761;1965;Friday;CATHAY PACIFIC;HONG KONG;Asia;Hub;Gates 1-12;31.12.2018;185.0;264;Somewhat clean;Somewhat safe;1
762;2640;Tuesday;JETBLUE;NEW YORK-JFK;EAST US;    Hub;Gates 1-12;31.12.2018;113.0;257;Average;Somewhat safe;0
763;395;Friday;ALASKA;LOS ANGELES;West US;Hub;Gates 50-59;31.12.2018;205.0;103;Somewhat clean;Very safe;1
